"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"18.02.2022","1.391,31","1.463,81","1.481,54","1.386,07","-","-4,05%"
"17.02.2022","1.450,02","1.500,73","1.500,73","1.444,99","-","-4,89%"
"16.02.2022","1.524,51","1.533,26","1.544,59","1.513,99","-","1,77%"
"15.02.2022","1.498,04","1.458,13","1.509,90","1.442,91","-","5,05%"
"14.02.2022","1.426,09","1.412,16","1.456,73","1.391,19","-","-2,99%"
"11.02.2022","1.470,10","1.512,43","1.512,43","1.462,73","-","-4,96%"
"10.02.2022","1.546,79","1.532,20","1.547,25","1.513,69","-","0,78%"
"09.02.2022","1.534,82","1.506,87","1.534,82","1.506,12","-","3,06%"
"08.02.2022","1.489,18","1.462,44","1.489,18","1.458,32","-","3,04%"
"07.02.2022","1.445,20","1.458,68","1.465,38","1.432,79","-","0,64%"
"04.02.2022","1.436,00","1.441,85","1.474,32","1.432,31","-","0,28%"
"03.02.2022","1.431,99","1.449,67","1.449,67","1.418,43","-","-2,18%"
"02.02.2022","1.463,90","1.462,97","1.486,22","1.451,83","-","0,43%"
"01.02.2022","1.457,64","1.453,67","1.472,93","1.442,05","-","1,56%"
"31.01.2022","1.435,23","1.428,55","1.452,59","1.427,63","-","2,00%"
"28.01.2022","1.407,04","1.417,25","1.430,05","1.393,55","-","0,53%"
"27.01.2022","1.399,64","1.308,60","1.433,93","1.301,24","-","5,68%"
"26.01.2022","1.324,40","1.322,09","1.358,46","1.305,15","-","2,13%"
"25.01.2022","1.296,80","1.328,08","1.339,02","1.286,70","-","0,67%"
"24.01.2022","1.288,17","1.402,05","1.402,05","1.260,55","-","-8,11%"
"21.01.2022","1.401,88","1.419,09","1.441,48","1.393,78","-","-3,36%"
"20.01.2022","1.450,59","1.441,95","1.461,26","1.400,89","-","2,54%"
"19.01.2022","1.414,68","1.342,07","1.452,21","1.331,03","-","3,45%"
"18.01.2022","1.367,45","1.460,48","1.463,37","1.355,25","-","-7,29%"
"17.01.2022","1.474,99","1.501,15","1.517,35","1.445,67","-","-0,73%"
